matchId,team,player,timeStr,assistStr,isHome
4205375,Real Betis,Willian José,53,,True
4205377,Girona,Cristian Portu,88,assist by Yan Couto,True
4205380,Osasuna,Ezequiel Ávila,76,assist by Jesus Areso,True
4205380,Barcelona,Jules Koundé,45 + 1,assist by Ilkay Gündogan,False
4205380,Barcelona,Robert Lewandowski,85,,False
4205392,Rayo Vallecano,Isi Palazon,43,,True
4205392,Rayo Vallecano,Jorge de Frutos,82,assist by Álvaro Garcia,True
4205383,Athletic Club,Gorka Guruzeta,66,assist by Oscar de Marcos,True
4205383,Athletic Club,Asier Villalibre,68,,True
4205383,Athletic Club,Inaki Williams,90,assist by Asier Villalibre,True
4205389,Valencia,Hugo Duro,5,,True
4205389,Valencia,Hugo Duro,34,assist by Fran Pérez,True
4205389,Valencia,Javier Guerra,54,assist by Thierry Correia,True
4205385,Mallorca,Vedat Muriqi,85,assist by Daniel Rodriguez,False
4205384,Barcelona,Joao Félix,25,assist by Oriol Romeu,True
4205384,Barcelona,Robert Lewandowski,32,assist by Andreas Christensen,True
4205384,Barcelona,Ferran Torres,62,,True
4205384,Barcelona,Raphinha,66,assist by Robert Lewandowski,True
4205384,Barcelona,Joao Cancelo,81,assist by Robert Lewandowski,True
4205386,Getafe,Stefan Mitrovic,36,assist by Damian Suarez,True
4205386,Getafe,José Ángel Carmona,51,assist by Diego Rico,True
4205386,Getafe,Nemanja Maksimovic,86,assist by Carles Alena,True
4205386,Osasuna,Iker Munoz,45,assist by Aimar Oroz,False
4205386,Osasuna,Ante Budimir,57,,False
4205388,Villarreal,Gerard Moreno,45 + 5,assist by Álex Baena,True
4205388,Villarreal,Alexander Sørloth,90 + 4,assist by Alberto Moreno,True
4205388,Almeria,Sergio Akieme,44,assist by Lucas Robertone,False
4205391,Sevilla,Dodi Lukebakio,71,,True
4205387,Real Madrid,Federico Valverde,46,assist by Francisco Garcia,True
4205387,Real Madrid,Joselu,60,assist by Francisco Garcia,True
4205387,Real Sociedad,Ander Barrenetxea,5,,False
4205390,Granada,Myrto Uzuni,63,assist by Ignasi Miquel,True
4205390,Granada,Lucas Boye,85,assist by Famara Diédhiou,True
4205390,Girona,Viktor Tsigankov,22,assist by Savio,False
4205390,Girona,Savio,31,,False
4205390,Girona,David Lopez,34,assist by Artem Dovbyk,False
4205390,Girona,Yan Couto,89,assist by Cristhian Stuani,False
4205400,Athletic Club,Inaki Williams,18,assist by Mikel Vesga,False
4205400,Athletic Club,Oihan Sancet,76,assist by Inaki Williams,False
4205397,Girona,David Lopez,26,assist by Daley Blind,True
4205397,Girona,Artem Dovbyk,33,,True
4205397,Girona,Iván Martin,37,assist by Savio,True
4205397,Girona,Yangel Herrera,45,,True
4205397,Girona,Savio,57,assist by Artem Dovbyk,True
4205397,Mallorca,Vedat Muriqi,4,,False
4205397,Mallorca,Abdon Prats,88,,False
4205397,Mallorca,Abdon Prats,90 + 5,assist by Sergi Darder,False
4205395,Barcelona,Robert Lewandowski,81,assist by Joao Félix,True
4205395,Barcelona,Robert Lewandowski,85,assist by Joao Cancelo,True
4205395,Barcelona,Joao Cancelo,89,assist by Gavi,True
4205395,Celta Vigo,Jørgen Strand Larsen,19,assist by Luca de la Torre,False
4205395,Celta Vigo,Anastasios Douvikas,76,assist by Iago Aspas,False
4205393,Almeria,Sergio Arribas,59,,True
4205393,Almeria,Sergio Arribas,69,,True
4205393,Valencia,Diego Lopez,14,assist by Javier Guerra,False
4205393,Valencia,Javier Guerra,63,assist by Fran Pérez,False
4205401,Real Sociedad,Takefusa Kubo,2,assist by Brais Méndez,True
4205401,Real Sociedad,Mikel Oyarzabal,61,,True
4205401,Real Sociedad,Mikel Oyarzabal,88,assist by Mikel Merino,True
4205401,Real Sociedad,Brais Méndez,66,,True
4205401,Getafe,Carles Alena,39,assist by Diego Rico,False
4205401,Getafe,Borja Mayoral,45 + 5,,False
4205401,Getafe,Juanmi Latasa,90 + 2,assist by Diego Rico,False
4205399,Rayo Vallecano,Kike Pérez,16,assist by Unai Lopez,True
4205399,Villarreal,Alexander Sørloth,15,assist by Álex Baena,False
4205402,Las Palmas,Kirian Rodriguez,90 + 2,assist by Sory Kaba,True
4205396,Real Betis,Guido Rodriguez,60,,True
4205396,Cadiz,Christopher Ramos,41,,False
4205394,Atletico Madrid,Álvaro Morata,4,assist by Samuel Dias Lino,True
4205394,Atletico Madrid,Álvaro Morata,46,assist by Saul Niguez,True
4205394,Atletico Madrid,Antoine Griezmann,18,assist by Saul Niguez,True
4205394,Real Madrid,Toni Kroos,35,,False
4205405,Sevilla,Youssef En-Nesyri,7,,True
4205405,Sevilla,Dodi Lukebakio,8,,True
4205405,Sevilla,Suso,38,assist by Djibril Sow,True
4205405,Sevilla,Erik Lamela,51,assist by Adrià Pedrosa,True
4205405,Sevilla,Kike Salas,90 + 2,assist by Juanlu Sánchez,True
4205405,Almeria,Luis Suárez,71,,False
4205407,Mallorca,Vedat Muriqi,8,assist by Antonio Sánchez,True
4205407,Mallorca,Abdon Prats,45 + 3,assist by Vedat Muriqi,True
4205407,Barcelona,Raphinha,41,,False
4205407,Barcelona,Fermin Lopez,75,assist by Raphinha,False
4205403,Athletic Club,Yuri Berchiche,6,assist by Alex Berenguer,True
4205403,Athletic Club,Inaki Williams,62,assist by Oscar de Marcos,True
4205403,Getafe,Gaston Álvarez,51,assist by Mason Greenwood,False
4205403,Getafe,Juanmi Latasa,83,assist by José Ángel Carmona,False
4205411,Real Madrid,Brahim Diaz,45 + 3,assist by Lucas Vázquez,True
4205411,Real Madrid,Joselu,54,assist by Rodrygo,True
4205409,Villarreal,Daniel Parejo,49,,True
4205409,Girona,Artem Dovbyk,56,assist by Savio,False
4205409,Girona,Eric Garcia,61,assist by Aleix Garcia,False
4205410,Real Sociedad,Carlos Fernández,32,assist by Kieran Tierney,False
4205412,Celta Vigo,Rafa Marin,35,,True
4205412,Deportivo Alaves,Samuel Omorodion,73,assist by Javi Lopez,False
4205408,Granada,Lucas Boye,67,assist by Bryan Zaragoza,True
4205408,Real Betis,Assane Diao,51,assist by Ayoze Pérez,False
4205406,Atletico Madrid,Antoine Griezmann,20,,False
4205406,Atletico Madrid,Rodrigo Riquelme,81,assist by Samuel Dias Lino,False
4205415,Barcelona,Sergio Ramos,76,,True
4205422,Rayo Vallecano,Álvaro Garcia,4,assist by Sergio Camello,True
4205422,Rayo Vallecano,Radamel Falcao,90 + 12,,True
4205422,Mallorca,Vedat Muriqi,44,assist by Abdon Prats,False
4205422,Mallorca,Antonio Sánchez,59,assist by Sergi Darder,False
4205418,Real Madrid,Joselu,17,assist by Jude Bellingham,False
4205418,Real Madrid,Aurélien Tchouaméni,21,assist by Toni Kroos,False
4205418,Real Madrid,Jude Bellingham,71,assist by Joselu,False
4205420,Real Sociedad,Robin Le Normand,30,,True
4205420,Real Sociedad,Takefusa Kubo,48,assist by Umar Sadiq,True
4205420,Real Sociedad,Mikel Oyarzabal,66,assist by Martin Zubimendi,True
4205413,Almeria,Luis Suárez,41,assist by Largie Ramazani,True
4205413,Almeria,Luis Suárez,44,assist by Largie Ramazani,True
4205413,Almeria,Luis Suárez,45 + 1,assist by Largie Ramazani,True
4205413,Granada,Bryan Zaragoza,66,,False
4205413,Granada,Ricard Sánchez,70,assist by Antonio Puertas,False
4205413,Granada,Myrto Uzuni,86,assist by Lucas Boye,False
4205419,Osasuna,José Arnáiz,36,assist by Rubén Pena,False
4205419,Osasuna,Ante Budimir,90,assist by Juan Cruz,False
4205414,Atletico Madrid,Ángel Correa,32,assist by César Azpilicueta,True
4205414,Atletico Madrid,Ángel Correa,66,assist by Saul Niguez,True
4205414,Atletico Madrid,Nahuel Molina,46,,True
4205414,Cadiz,Lucas Pires,12,assist by Christopher Ramos,False
4205414,Cadiz,Roger,27,,False
4205416,Real Betis,Assane Diao,41,assist by Marc Roca,True
4205416,Real Betis,Marc Roca,52,assist by Isco,True
4205416,Real Betis,Abdessamad Ezzalzouli,85,assist by William Carvalho,True
4205421,Las Palmas,Jonathan Viera,84,,True
4205421,Las Palmas,Marc Cardona,90 + 7,assist by Jonathan Viera,True
4205421,Celta Vigo,Anastasios Douvikas,67,assist by Jonathan Bamba,False
4205428,Athletic Club,Gorka Guruzeta,10,assist by Yuri Berchiche,True
4205428,Athletic Club,Dani Garcia,63,assist by Oscar de Marcos,True
4205428,Athletic Club,Oihan Sancet,81,,True
4205424,Girona,Aleix Garcia,59,assist by Yan Couto,False
4205430,Real Madrid,Jude Bellingham,9,assist by Daniel Carvajal,True
4205430,Real Madrid,Jude Bellingham,54,assist by Federico Valverde,True
4205430,Real Madrid,Vinicius Junior,65,assist by Federico Valverde,True
4205430,Real Madrid,Joselu,70,assist by Vinicius Junior,True
4205426,Mallorca,Daniel Rodriguez,5,assist by Vedat Muriqi,True
4205426,Valencia,Diego Lopez,45 + 3,assist by Thierry Correia,False
4205431,Sevilla,Djibril Sow,50,assist by Loic Badé,True
4205431,Sevilla,Youssef En-Nesyri,90 + 6,assist by Ivan Rakitic,True
4205431,Rayo Vallecano,Oscar Valentin,21,,False
4205431,Rayo Vallecano,Álvaro Garcia,26,assist by Raul de Tomas,False
4205432,Villarreal,Gerard Moreno,90 + 2,assist by Ilias Akhomach,True
4205432,Las Palmas,Saul Coco,45 + 2,,False
4205432,Las Palmas,Marc Cardona,51,,False
4205423,Atlético Madrid,Samuel Dias Lino,22,assist by Koke,True
4205423,Atlético Madrid,Antoine Griezmann,89,,True
4205423,Real Sociedad,Mikel Oyarzabal,73,assist by Carlos Fernández,False
4205425,Celta Vigo,Jonathan Bamba,24,assist by Luca de la Torre,True
4205425,Celta Vigo,Jørgen Strand Larsen,42,,True
4205425,Getafe,Borja Mayoral,2,assist by Diego Rico,False
4205425,Getafe,Mason Greenwood,33,assist by Borja Mayoral,False
4205427,Deportivo Alaves,Hector Bellerin,35,,True
4205427,Real Betis,Ayoze Pérez,32,,False
4205429,Granada,Bryan Zaragoza,1,assist by Lucas Boye,True
4205429,Granada,Bryan Zaragoza,29,assist by Gerard Gumbau,True
4205429,Barcelona,Lamine Yamal,45 + 1,,False
4205429,Barcelona,Sergi Roberto,85,assist by Álex Balde,False
4205441,Osasuna,Ante Budimir,11,assist by Ezequiel Ávila,True
4205441,Osasuna,Ante Budimir,59,,True
4205439,Real Sociedad,Brais Méndez,64,assist by Takefusa Kubo,True
4205437,Getafe,Borja Mayoral,17,assist by Diego Rico,True
4205437,Real Betis,Marc Roca,1,assist by Borja Iglesias,False
4205440,Sevilla,David Alaba,74,,True
4205440,Real Madrid,Daniel Carvajal,78,assist by Toni Kroos,False
4205436,Atlético Madrid,Antoine Griezmann,29,,False
4205436,Atlético Madrid,Antoine Griezmann,64,,False
4205436,Atlético Madrid,Antoine Griezmann,70,assist by Nahuel Molina,False
4205433,Rayo Vallecano,Bebé,90 + 1,,False
4205434,Girona,Iván Martin,37,assist by Aleix Garcia,True
4205434,Girona,Artem Dovbyk,39,assist by Daley Blind,True
4205434,Girona,Artem Dovbyk,43,assist by Yan Couto,True
4205434,Girona,Savio,71,assist by Aleix Garcia,True
4205434,Girona,Cristhian Stuani,85,assist by Arnau Martinez,True
4205434,Almeria,Leo Baptistao,2,assist by Lucas Robertone,False
4205434,Almeria,Leo Baptistao,24,,False
4205442,Villarreal,Gerard Moreno,65,,True
4205442,Deportivo Alaves,Samuel Omorodion,48,assist by Jon Guridi,False
4205435,Barcelona,Marc Guiu,80,assist by Joao Félix,True
4205438,Valencia,José Gayà,4,assist by Selim Amallah,True
4205438,Valencia,Hugo Duro,25,,True
4205450,Girona,Yangel Herrera,90 + 1,assist by Aleix Garcia,True
4205443,Almeria,Largie Ramazani,73,assist by Lucas Robertone,True
4205443,Las Palmas,Munir El Haddadi,23,assist by Marvin Park,False
4205443,Las Palmas,Sory Kaba,90 + 4,,False
4205445,Barcelona,Ilkay Gündogan,6,,True
4205445,Real Madrid,Jude Bellingham,68,,False
4205445,Real Madrid,Jude Bellingham,90 + 2,assist by Luka Modric,False
4205447,Cadiz,Christopher Ramos,8,assist by Roger,True
4205447,Cadiz,Darwin Machis,28,assist by Roger,True
4205447,Sevilla,Lucas Ocampos,37,assist by Juanlu Sánchez,False
4205447,Sevilla,Ivan Rakitic,60,,False
4205446,Real Betis,Willian José,45 + 1,assist by Isco,True
4205446,Real Betis,Isco,90 + 4,,True
4205446,Osasuna,Rubén Garcia,85,assist by Alejandro Catena,False
4205448,Rayo Vallecano,Abdul Mumin,31,,True
4205448,Rayo Vallecano,Bebé,90 + 1,assist by Florian Lejeune,True
4205448,Real Sociedad,Mikel Oyarzabal,41,assist by Ander Barrenetxea,False
4205448,Real Sociedad,Mikel Oyarzabal,66,,False
4205444,Athletic Club,Oscar de Marcos,32,assist by Nico Williams,True
4205444,Athletic Club,Alex Berenguer,90 + 7,assist by Inaki Williams,True
4205444,Valencia,Fran Pérez,62,assist by Hugo Duro,False
4205444,Valencia,Hugo Duro,68,assist by Fran Pérez,False
4205452,Atlético Madrid,Rodrigo Riquelme,26,assist by Álvaro Morata,True
4205452,Atlético Madrid,Álvaro Morata,45 + 1,assist by Koke,True
4205452,Deportivo Alaves,Ander Guevara,90 + 6,assist by Ianis Hagi,False
4205449,Granada,Ricard Sánchez,29,assist by Gonzalo Villar,True
4205449,Granada,Myrto Uzuni,34,assist by Bryan Zaragoza,True
4205449,Villarreal,Gerard Moreno,18,assist by Alexander Sørloth,False
4205449,Villarreal,Gerard Moreno,23,,False
4205449,Villarreal,Alexander Sørloth,28,assist by Daniel Parejo,False
4205457,Las Palmas,Kirian Rodriguez,51,assist by Alberto Moleiro,True
4205457,Las Palmas,Benito,75,assist by Munir El Haddadi,True
4205457,Atlético Madrid,Álvaro Morata,83,assist by Rodrigo Riquelme,False
4205460,Osasuna,Ante Budimir,25,,True
4205460,Osasuna,Ante Budimir,55,assist by Johan Mojica,True
4205460,Girona,Iván Martin,16,assist by Artem Dovbyk,False
4205460,Girona,Artem Dovbyk,71,,False
4205460,Girona,Viktor Tsigankov,80,assist by Artem Dovbyk,False
4205460,Girona,Aleix Garcia,90,assist by Cristian Portu,False
4205453,Real Betis,Willian José,7,assist by Juan Miranda,True
4205453,Real Betis,Ayoze Pérez,65,assist by Luiz Henrique,True
4205454,Celta Vigo,Carl Starfelt,22,assist by Iago Aspas,True
4205454,Sevilla,Youssef En-Nesyri,84,,False
4205458,Barcelona,Ronald Araujo,90 + 2,assist by Ilkay Gündogan,False
4205455,Deportivo Alaves,Aleksandar Sedlar,79,,True
4205462,Valencia,Pepelu,45 + 7,,True
4205456,Villarreal,Gerard Moreno,86,assist by Étienne Capoue,True
4205456,Villarreal,Alexander Sørloth,87,assist by Gerard Moreno,True
4205456,Athletic Club,Inigo Ruiz de Galarreta,2,assist by Nico Williams,False
4205456,Athletic Club,Nico Williams,22,assist by Oihan Sancet,False
4205456,Athletic Club,Inaki Williams,30,assist by Oihan Sancet,False
4205459,Getafe,Borja Mayoral,76,assist by Mason Greenwood,True
4205464,Athletic Club,Oihan Sancet,37,,True
4205464,Athletic Club,Gorka Guruzeta,45 + 5,assist by Nico Williams,True
4205464,Athletic Club,Gorka Guruzeta,52,,True
4205464,Athletic Club,Alex Berenguer,90 + 8,,True
4205464,Celta Vigo,Iago Aspas,25,assist by Oscar Mingueza,False
4205464,Celta Vigo,Jonathan Bamba,41,,False
4205464,Celta Vigo,Jørgen Strand Larsen,66,assist by Iago Aspas,False
4205470,Rayo Vallecano,Álvaro Garcia,5,assist by Isi Palazon,True
4205470,Girona,Artem Dovbyk,42,assist by Viktor Tsigankov,False
4205470,Girona,Savio,65,,False
4205463,Almeria,Sergio Arribas,76,,True
4205463,Real Sociedad,Mikel Oyarzabal,62,,False
4205463,Real Sociedad,Carlos Fernández,90 + 1,,False
4205463,Real Sociedad,Martin Zubimendi,90 + 5,assist by Aritz Elustondo,False
4205469,Granada,Gonzalo Villar,45 + 4,assist by Carlos Neva,True
4205469,Getafe,Borja Mayoral,2,assist by Mason Greenwood,False
4205471,Osasuna,Ante Budimir,73,assist by Jon Moncayola,True
4205471,Las Palmas,Alberto Moleiro,70,assist by Javier Munoz,False
4205466,Real Madrid,Daniel Carvajal,3,assist by Toni Kroos,True
4205466,Real Madrid,Vinicius Junior,42,assist by Rodrygo,True
4205466,Real Madrid,Vinicius Junior,49,assist by Rodrygo,True
4205466,Real Madrid,Rodrygo,50,,True
4205466,Real Madrid,Rodrygo,84,assist by Francisco Garcia,True
4205466,Valencia,Hugo Duro,88,assist by Hugo Gonzalez,False
4205472,Barcelona,Robert Lewandowski,53,assist by Jules Koundé,True
4205472,Barcelona,Robert Lewandowski,78,,True
4205472,Deportivo Alaves,Samuel Omorodion,1,assist by Javi Lopez,False
4205467,Sevilla,Ivan Rakitic,79,assist by Dodi Lukebakio,True
4205467,Real Betis,Ayoze Pérez,72,,False
4205465,Atlético Madrid,Axel Witsel,45 + 1,assist by Antoine Griezmann,True
4205465,Atlético Madrid,Antoine Griezmann,80,assist by Marcos Llorente,True
4205465,Atlético Madrid,Samuel Dias Lino,85,assist by Pablo Barrios,True
4205465,Villarreal,Gerard Moreno,20,,False
4205477,Deportivo Alaves,Raul Torrente,11,,True
4205477,Deportivo Alaves,Abderrahman Rebbach,38,assist by Javi Lopez,True
4205477,Deportivo Alaves,Samuel Omorodion,55,assist by Luis Rioja,True
4205477,Granada,Myrto Uzuni,86,,False
4205480,Rayo Vallecano,Unai Lopez,39,,True
4205480,Barcelona,Florian Lejeune,82,,False
4205478,Getafe,Mason Greenwood,33,assist by Omar Alderete,True
4205478,Getafe,Borja Mayoral,45,,True
4205478,Almeria,Largie Ramazani,7,assist by Juan Brandariz,False
4205473,Atlético Madrid,Antoine Griezmann,64,assist by Mario Hermoso,True
4205482,Villarreal,José Luis Morales,57,assist by Gerard Moreno,True
4205482,Villarreal,José Luis Morales,71,,True
4205482,Villarreal,José Luis Morales,80,assist by Álex Baena,True
4205482,Osasuna,Alejandro Catena,78,assist by Ezequiel Ávila,False
4205476,Real Sociedad,Marko Dmitrovic,3,,True
4205476,Real Sociedad,Umar Sadiq,22,assist by Hamari Traoré,True
4205476,Sevilla,Youssef En-Nesyri,60,assist by Adrià Pedrosa,False
4205475,Real Madrid,Rodrygo,14,,False
4205475,Real Madrid,Rodrygo,64,assist by Luka Modric,False
4205475,Real Madrid,Jude Bellingham,74,assist by Rodrygo,False
4205474,Real Betis,Willian José,19,,True
4205479,Girona,Viktor Tsigankov,55,,True
4205479,Athletic Club,Inaki Williams,67,assist by Oihan Sancet,False
4205468,Mallorca,Abdon Prats,45 + 1,assist by Pablo Maffeo,True
4205468,Cadiz,Rubén Alcaraz,12,,False
4205490,Las Palmas,Julian Araujo,43,assist by Kirian Rodriguez,True
4205490,Las Palmas,Cristian Herrera,90 + 2,assist by Marvin Park,True
4205485,Girona,Cristhian Stuani,82,assist by Yan Couto,True
4205485,Girona,Cristhian Stuani,88,,True
4205485,Valencia,Hugo Duro,56,,False
4205484,Athletic Club,Gorka Guruzeta,23,assist by Oihan Sancet,True
4205484,Athletic Club,Alfonso Espino,47,,True
4205484,Athletic Club,Inaki Williams,64,assist by Gorka Guruzeta,True
4205484,Athletic Club,Nico Williams,68,assist by Inigo Lekue,True
4205491,Real Madrid,Brahim Diaz,26,assist by Toni Kroos,True
4205491,Real Madrid,Rodrygo,57,,True
4205486,Osasuna,Moi Gomez,2,assist by Ante Budimir,True
4205486,Real Sociedad,Umar Sadiq,41,assist by Igor Zubeldia,False
4205487,Sevilla,Kike Salas,75,assist by Adrià Pedrosa,True
4205487,Villarreal,José Luis Morales,77,,False
4205488,Barcelona,Joao Félix,28,assist by Raphinha,True
4205489,Celta Vigo,Jørgen Strand Larsen,57,assist by Manuel Sánchez,True
4205489,Cadiz,Christopher Ramos,16,assist by Iván Alejo,False
4205496,Getafe,Borja Mayoral,87,assist by Juan Iglesias,True
4205498,Las Palmas,Kirian Rodriguez,31,assist by Alberto Moleiro,False
4205494,Real Betis,Aitor Ruibal,66,assist by Willian José,True
4205494,Real Madrid,Jude Bellingham,53,assist by Brahim Diaz,False
4205502,Real Sociedad,Mikel Merino,38,assist by Takefusa Kubo,False
4205502,Real Sociedad,Martin Zubimendi,41,assist by Arsen Zakharyan,False
4205502,Real Sociedad,Takefusa Kubo,45 + 4,assist by Mikel Merino,False
4205497,Mallorca,Cyle Larin,11,assist by Samu,True
4205499,Atletico Madrid,Álvaro Morata,17,assist by Antoine Griezmann,True
4205499,Atletico Madrid,Ángel Correa,22,assist by Marcos Llorente,True
4205499,Almeria,Leo Baptistao,62,,False
4205495,Cadiz,Roger,19,assist by Iván Alejo,True
4205495,Osasuna,Ante Budimir,70,,False
4205493,Barcelona,Robert Lewandowski,19,assist by Raphinha,True
4205493,Barcelona,Ilkay Gündogan,90 + 2,assist by Ferran Torres,True
4205493,Girona,Artem Dovbyk,12,assist by Viktor Tsigankov,False
4205493,Girona,Miguel Gutiérrez,40,assist by Iván Martin,False
4205493,Girona,Valery Fernández,80,assist by Cristhian Stuani,False
4205493,Girona,Cristhian Stuani,90 + 5,assist by Savio,False
4205500,Granada,Inigo Ruiz de Galarreta,55,,True
4205500,Athletic Club,Inaki Williams,6,,False
4205506,Osasuna,Raul Garcia,90 + 5,assist by José Arnáiz,True
4205505,Celta Vigo,Jørgen Strand Larsen,20,,True
4205504,Athletic Club,Gorka Guruzeta,51,assist by Ander Herrera,True
